dataset,algorithm,spec,metric,seed42,mean10,sd10,min10,max10
COCOMO81,DT,semilog,MdMRE,0.7906537254473921,0.7737747466352853,0.06588946455691874,0.692716083364337,0.9148466605341563
COCOMO81,DT,semilog,PRED25,12.857142857142856,14.904761904761903,4.133389412732485,7.857142857142856,20.714285714285715
COCOMO81,DT,semilog,SA,28.95758318575198,54.45739435509038,11.407608762280006,28.95758318575198,67.17638557285835
COCOMO81,RF,semilog,MAE,458.6487471559634,442.83133973070187,13.404066959778813,427.50873380185504,465.44218477032007
COCOMO81,RF,semilog,RMSE,974.1666269647097,871.7660186463442,55.947536811515036,805.7770239588996,974.1666269647097
COCOMO81,RF,semilog,MMRE,0.7557106147090689,0.8134349862307747,0.06337681856761747,0.7383226765337818,0.9509808443979291
COCOMO81,RF,semilog,MdMRE,0.564011700105551,0.5977153958643762,0.05774832218567285,0.5242962468739502,0.7290753011331418
COCOMO81,RF,semilog,PRED25,17.14285714285714,18.02380952380952,2.4463247766959193,12.857142857142856,20.95238095238095
COCOMO81,RF,semilog,SA,65.1924457499928,69.06390589131338,2.2787348597468275,65.1924457499928,71.97244164056839
COCOMO81,KNN,semilog,MAE,567.6064793261012,579.4657144190462,15.778595094504134,546.5557729427368,601.7850253399822
COCOMO81,KNN,semilog,RMSE,1143.4071840906897,1118.797390304076,77.42768746830961,983.0566475286676,1204.9461039910354
COCOMO81,KNN,semilog,MMRE,1.862472391155362,2.0373004641601646,0.19631639458012445,1.862472391155362,2.4695095991463303
COCOMO81,KNN,semilog,MdMRE,0.8278278277775692,0.9615058928842481,0.1272471963174123,0.8120569383799475,1.1196557999071026
COCOMO81,KNN,semilog,PRED25,9.285714285714283,12.714285714285712,2.562398410377407,9.285714285714283,16.19047619047619
COCOMO81,KNN,semilog,SA,56.18481452184128,58.28936918626444,2.6362158977832797,55.77004528204852,63.683972099539325
COCOMO81,SVR,semilog,MAE,582.1127245676031,592.0890881365134,12.489661847596542,576.9852086063794,612.4676668250721
COCOMO81,SVR,semilog,RMSE,1207.4971046708145,1170.945212570578,73.51603827407234,1063.1420816811606,1249.4273346421073
COCOMO81,SVR,semilog,MMRE,1.963353977663239,2.2052456451022806,0.25714499842224264,1.963353977663239,2.6898830487798575
COCOMO81,SVR,semilog,MdMRE,0.7990595822782677,1.0143777272820238,0.18799100852156936,0.7990595822782677,1.324990783324754
COCOMO81,SVR,semilog,PRED25,9.523809523809522,8.214285714285714,2.446839684042539,4.523809523809524,12.619047619047617
COCOMO81,SVR,semilog,SA,56.79812602695889,58.37340769882417,2.2184562250116273,55.7111457795569,61.71572045038797
COCOMO81,LR,loglog,MAE,268.95029847771883,282.036762316595,23.457937081773554,248.7117694937299,329.8899607190159
COCOMO81,LR,loglog,RMSE,541.8414291297424,549.3271624068317,63.758274914848315,437.88104527385366,667.715373238461
COCOMO81,LR,loglog,MMRE,0.4502098025258137,0.47496217330103685,0.02706402945663324,0.4455004411770028,0.5160462349644714
COCOMO81,LR,loglog,MdMRE,0.3110120862844837,0.33632411526263417,0.029841784459909242,0.3034396090728527,0.397019069128324
COCOMO81,LR,loglog,PRED25,44.52380952380952,39.88095238095238,3.728047359224776,33.80952380952381,44.76190476190476
COCOMO81,LR,loglog,SA,78.20469567894693,78.02805734143885,2.4974936945014345,74.26538589531857,81.93969154377321
COCOMO81,DT,loglog,MAE,792.1347619047622,564.9793571428572,122.39314716711081,395.29047619047606,792.1347619047622
COCOMO81,DT,loglog,RMSE,1531.8518865419924,1059.3173918864125,252.16653960678903,724.3291696098102,1531.8518865419924
COCOMO81,DT,loglog,MMRE,1.4306200793836956,1.3253417600944766,0.21084182200723,1.0240341084502005,1.6352027518669061
COCOMO81,DT,loglog,MdMRE,0.7789463353407926,0.7783081259705604,0.07335073485927493,0.6661957256992824,0.9061640901494583
COCOMO81,DT,loglog,PRED25,12.857142857142856,14.904761904761903,4.133389412732485,7.857142857142856,20.714285714285715
COCOMO81,DT,loglog,SA,28.99294950777291,54.43196058627393,11.35466421678406,28.99294950777291,67.1276534190592
COCOMO81,RF,loglog,MAE,458.7203823004208,442.4909826773941,12.765569151923867,428.06676138362,462.8604796268122
COCOMO81,RF,loglog,RMSE,974.0260811635546,870.803968157799,55.10196314125378,807.5493067933661,974.0260811635546
